"drugbankid","smiles","id"
"DB00661","COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1",347
"DB00663","[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C",459
"DB00669","CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1",50
"DB00670","CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1",184
"DB00672","CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1",547
"DB00674","[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3",118
"DB00679","CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1",82
"DB00680","CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1",685
"DB00687","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C",458
"DB00692","CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1",231
"DB00695","NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O",360
"DB00696","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O",23
"DB00697","ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1",260
"DB00699","[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CC(Br)=CN=C1)CN2C)OC",226
"DB00706","CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O",237
"DB00711","CCN(CC)C(=O)N1CCN(C)CC1",374
"DB00712","CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1",560
"DB00714","[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23",6
"DB00715","FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1",76
"DB00720","OP(O)(=O)C(Cl)(Cl)P(O)(O)=O",624
"DB00721","CCN(CC)CCOC(=O)C1=CC=C(N)C=C1",138
"DB00723","COC1=CC(C(O)C(C)N)=C(OC)C=C1",223
"DB00725","[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1",170
"DB00726","CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12",53
"DB00728","[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1",139
"DB00729","COS([O-])(=O)=O.C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1",201
"DB00731","[H][C@](CC1=CC=CC=C1)(N=C(O)[C@@]1([H])CC[C@@]([H])(CC1)C(C)C)C(O)=O",585
"DB00732","[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2",125
"DB00733","C[N+]1=C(\C=N\O)C=CC=C1",121
"DB00734","CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1",47
"DB00740","NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2",692
"DB00741","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C",470
"DB00744","CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1",617
"DB00745","NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1",249
"DB00747","CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1",187
"DB00749","CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1",556
"DB00750","CCCNC(C)C(=O)NC1=CC=CC=C1C",687
"DB00751","NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21",67
"DB00752","NC1CC1C1=CC=CC=C1",330
